YEAR,QUARTER,MONTH,ITEM_SECTION_CODE,SECTION_DESC,WEIGHT_IMPORT,VALUE_IMPORT,WEIGHT_EXPORT,VALUE_EXPORT,WEIGHT_REXPORT,VALUE_REXPORT
2011,3,7,04,"FOODSTUFFS, BEVERAGES, SPIRITS AND TOBACCO",406691470.5,1791093385,176721971.2,751965486.1,41313503.58,634999391.4
2011,3,7,05,MINERAL PRODUCTS,1684140311,2986904184,1403032349,1527210129,277494885.8,900153392.7
2011,3,7,06,PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES,502310692.9,3835643794,40386873.35,328123485.2,46457480.62,1418476703
2011,3,7,07,"PLASTICS, RUBBER AND ARTICLES THEREOF",214122108.8,2140124929,85851035.24,544013977.1,68741075.43,716608372.1
2011,3,7,08,ARTICLES OF LEATHER AND ANIMAL GUT; TRAVEL GOODS,12666682.68,347228820.1,287293.78,2028470.83,3596346.15,96024157.74
2011,3,7,09,"ARTICLES OF WOOD, CORK; BASKETWARE AND WICKERWORK",150572356.5,340278456,833524.78,4550911.72,21470337.08,74298312.31
2011,3,7,10,"PULP OF WOOD, WASTE, SCRAP AND ARTICLES OF PAPER",108202395.5,590296717.4,38925734.73,167744767.6,5319459.94,62125299.64
2011,3,7,11,TEXTILES AND TEXTILE ARTICLES,139163163.3,2604878863,39643547.12,148423630.5,66828547.74,1183572511
2011,3,7,12,"FOOTWEAR,UMBRELLAS,ARTICLES OF FEATHER & HAIR",17495231.54,510827072.5,277872.84,2227632.12,7011991.84,150547851.4
2011,3,7,13,"ARTICLES OF STONE, MICA;CERAMIC PRODUCTS AND GLASS",245725814.3,798935277,141204031.7,234963333.6,31043807.91,226688320.6
2011,3,7,14,"PEARLS, STONES, PRECIOUS METALS AND ITS ARTICLES",843252.69,18867474341,208130.59,6272986949,314134.87,8503674465
2011,3,7,15,BASE METALS AND ARTICLES OF BASE METAL,961791984.7,6803172571,275570887,1294080441,97105072.8,957264217.5
